NLC,TLC,Station Name,Region,Local Authority,OS Grid Easting,OS Grid Northing,Station Facility Owner,1617_Entry_Exits
5131,ABW,Abbey Wood,London,Bexley (London),547374,179035,Southeastern,2988802
3813,ABE,Aber,Wales - Cymru,Caerffili - Caerphilly,314870,186950,Arriva Trains Wales,227270
3801,ACY,Abercynon,Wales - Cymru,"Rhondda, Cynon, Taf - Rhondda, Cynon, Taff",308278,194824,Arriva Trains Wales,293638
3982,ABA,Aberdare,Wales - Cymru,"Rhondda, Cynon, Taf - Rhondda, Cynon, Taff",300400,202800,Arriva Trains Wales,569364
8976,ABD,Aberdeen,Scotland,Aberdeen City,394127,805872,ScotRail,3058268
9090,AUR,Aberdour,Scotland,Fife,319100,685400,ScotRail,125208
4435,AVY,Aberdovey,Wales - Cymru,Gwynedd - Gwynedd,260600,296000,Arriva Trains Wales,35960
4440,ABH,Abererch,Wales - Cymru,Gwynedd - Gwynedd,240400,336100,Arriva Trains Wales,2140
3602,AGV,Abergavenny,Wales - Cymru,Sir Fynwy - Monmouthshire,330500,213600,Arriva Trains Wales,425830
2448,AGL,Abergele & Pensarn,Wales - Cymru,Conwy - Conwy,294612,378681,Arriva Trains Wales,68632
4303,AYW,Aberystwyth,Wales - Cymru,Sir Ceredigion - Ceredigion,258500,281600,Arriva Trains Wales,327334
2552,ACR,Accrington,North West,Hyndburn,375730,428575,Northern,460472
8600,AAT,Achanalt,Scotland,Highland,226020,861473,ScotRail,424
8601,ACN,Achnasheen,Scotland,Highland,216403,858519,ScotRail,3076
8602,ACH,Achnashellach,Scotland,Highland,200290,848440,ScotRail,878
7662,ACK,Acklington,North East,Northumberland,422200,601500,Northern,204
7286,ACL,Acle,East,Broadland,639900,310000,Greater Anglia,47714
4529,ACG,Acocks Green,West Midlands,Birmingham,412400,283500,London Midland Trains,468256
2287,ACB,Acton Bridge,North West,Cheshire West and Chester,359870,374560,London Midland Trains,20092
1404,ACC,Acton Central,London,Ealing (London),520645,180295,London Overground,1931864
3000,AML,Acton Main Line,London,Ealing (London),520360,181230,Great Western Railway,238536
1036,ADD,Adderley Park,West Midlands,Birmingham,409880,287250,London Midland Trains,82404
9310,ADW,Addiewell,Scotland,West Lothian,299500,662300,ScotRail,20502
5550,ASN,Addlestone,South East,Runnymede,505587,164866,South West Trains,429204
5160,ADM,Adisham,South East,Canterbury,623391,153976,Southeastern,21218
2939,ADC,Adlington (Cheshire),North West,Cheshire East,391200,380300,Northern,30316
2641,ADL,Adlington (Lancashire),North West,Chorley,360200,413135,Northern,122514
8353,AWK,Adwick,Yorkshire And The Humber,Doncaster,454375,408725,Northern,197926
2255,AIG,Aigburth,North West,Liverpool,338400,385700,Merseyrail,812582
2350,ANS,Ainsdale,North West,Sefton,331101,412224,Merseyrail,1023510
2125,AIN,Aintree,North West,Sefton,336625,397890,Merseyrail,1048614
9695,AIR,Airbles,Scotland,North Lanarkshire,275034,656191,ScotRail,142930
9759,ADR,Airdrie,Scotland,North Lanarkshire,276000,665200,ScotRail,1086244
5132,AYP,Albany Park,London,Bexley (London),547855,172860,Southeastern,966726
4614,ALB,Albrighton,West Midlands,Shropshire,381900,304500,London Midland Trains,99380
2760,ALD,Alderley Edge,North West,Cheshire East,384317,378563,Northern,284804
3145,AMT,Aldermaston,South East,West Berkshire,460100,167345,Great Western Railway,88988
5623,AHT,Aldershot,South East,Rushmoor,486656,150424,South West Trains,1437614
5280,AGT,Aldrington,South East,The City of Brighton and Hove,527984,105666,Govia Thameslink Railway,185874
6025,AAP,Alexandra Palace,London,Haringey (London),530295,190460,Govia Thameslink Railway,1621664
9905,AXP,Alexandra Parade,Scotland,Glasgow City,261747,665542,ScotRail,322264
9861,ALX,Alexandria,Scotland,West Dunbartonshire,239300,679900,ScotRail,307348
1805,ALF,Alfreton,East Midlands,Amber Valley,442300,356100,East Midlands Trains,292130
7520,ALW,Allen's West,North East,Stockton-on-Tees,441449,514558,Northern,65414
9883,ALO,Alloa,Scotland,Clackmannanshire,288800,693115,ScotRail,360596
8605,ASS,Alness,Scotland,Highland,266000,869400,ScotRail,26376
7787,ALM,Alnmouth,North East,Northumberland,423115,611040,Northern,312452
6847,ALR,Alresford,East,Tendring,606525,221515,Greater Anglia,69720
1223,ASG,Alsager,North West,Cheshire East,380070,355130,East Midlands Trains,111016
6869,ALN,Althorne,East,Maldon,590524,197929,Greater Anglia,44538
6532,ALP,Althorpe,Yorkshire And The Humber,North Lincolnshire,483960,410625,Northern,10702
8606,ABC,Altnabreac,Scotland,Highland,300340,945680,ScotRail,356
5544,AON,Alton,South East,East Hampshire,472352,139697,South West Trains,716162
2806,ALT,Altrincham,North West,Trafford,377026,387931,Northern,568734
1198,ALV,Alvechurch,West Midlands,Bromsgrove,402300,272000,London Midland Trains,188536
1678,AMB,Ambergate,East Midlands,Amber Valley,434900,351600,East Midlands Trains,46890
5250,AMY,Amberley,South East,Horsham,502632,111812,Govia Thameslink Railway,50596
506,AMR,Amersham,South East,Chiltern,496379,198188,London Underground,1958866
4236,AMF,Ammanford,Wales - Cymru,Sir Gaerfyrddin - Carmarthenshire,262400,212700,Arriva Trains Wales,19428
6358,ANC,Ancaster,East Midlands,South Kesteven,498400,344375,East Midlands Trains,7162
9965,AND,Anderston,Scotland,Glasgow City,257960,665300,ScotRail,661282
5510,ADV,Andover,South East,Test Valley,435565,145938,South West Trains,1225902
5397,ANZ,Anerley,London,Bromley (London),534605,169900,London Overground,973012
6909,AGR,Angel Road,London,Enfield (London),535200,192200,Greater Anglia,33544
5267,ANG,Angmering,South East,Arun,506513,102979,Govia Thameslink Railway,699978
9451,ANN,Annan,Scotland,Dumfries and Galloway,319300,566200,ScotRail,124398
9972,ANL,Anniesland,Scotland,Glasgow City,254880,668683,ScotRail,1218022
2662,AFV,Ansdell & Fairhaven,North West,Fylde,334601,427689,Northern,40528
8562,APY,Apperley Bridge,Yorkshire And The Humber,Bradford,419454,438429,Northern,350312
2052,APP,Appleby,North West,Eden,368640,520680,Northern,61446
5003,APD,Appledore,South East,Ashford,597566,129760,Govia Thameslink Railway,35886
3109,APF,Appleford,South East,Vale of White Horse,452542,193698,Great Western Railway,6426
2396,APB,Appley Bridge,North West,West Lancashire,352475,409360,Northern,246606
1430,APS,Apsley,East,Dacorum,506245,204874,London Midland Trains,634484
9079,ARB,Arbroath,Scotland,Angus,363900,741000,ScotRail,361038
8613,ARD,Ardgay,Scotland,Highland,260030,890446,ScotRail,7144
9962,AUI,Ardlui,Scotland,Argyll and Bute,231700,715500,ScotRail,5426
9453,ADS,Ardrossan Harbour,Scotland,North Ayrshire,222540,642090,ScotRail,121004
9569,ASB,Ardrossan South Beach,Scotland,North Ayrshire,223799,642211,ScotRail,224466
9455,ADN,Ardrossan Town,Scotland,North Ayrshire,223070,642050,ScotRail,24186
2960,ADK,Ardwick,North West,Manchester,385900,397200,Northern,860
9961,AGS,Argyle Street,Scotland,Glasgow City,259220,664970,ScotRail,1413190
8821,ARG,Arisaig,Scotland,Highland,166400,786700,ScotRail,6262
6171,ARL,Arlesey,East,Central Bedfordshire,519045,237820,Govia Thameslink Railway,693548
990,ARM,Armadale,Scotland,West Lothian,294050,667140,ScotRail,238688
2054,AWT,Armathwaite,North West,Eden,350475,546340,Northern,2180
1963,ARN,Arnside,North West,South Lakeland,346070,478870,TransPennine Express,110610
8045,ARR,Arram,Yorkshire And The Humber,East Riding of Yorkshire,503520,444275,Northern,1506
9963,ART,Arrochar & Tarbet,Scotland,Argyll and Bute,231200,704600,ScotRail,15742
5251,ARU,Arundel,South East,Arun,502444,106417,Govia Thameslink Railway,272682
5666,ACT,Ascot,South East,Windsor and Maidenhead,492200,168300,South West Trains,1247078
3003,AUW,Ascott-Under-Wychwood,South East,West Oxfordshire,430114,218841,Great Western Railway,4644
5641,ASH,Ash,South East,Guildford,489934,150834,South West Trains,279244
5547,AHV,Ash Vale,South East,Guildford,489273,153342,South West Trains,480854
2941,ABY,Ashburys,North West,Manchester,387191,397229,Northern,98472
4700,ASC,Ashchurch,South West,Tewkesbury,392630,233390,Great Western Railway,94244
9953,ASF,Ashfield,Scotland,Glasgow City,259427,668485,ScotRail,50340
5667,AFS,Ashford (Middlesex),South East,Spelthorne,506580,171947,South West Trains,1057340
5004,AFK,Ashford International,South East,Ashford,601282,142204,Southeastern,3798486
2850,ASY,Ashley,North West,Cheshire East,377370,384370,Northern,8680
5347,AHD,Ashtead,South East,Mole Valley,518040,159000,Govia Thameslink Railway,1317284
2790,AHN,Ashton-Under-Lyne,North West,Tameside,393840,399400,Northern,386720
5398,AHS,Ashurst,South East,Tunbridge Wells,550726,138801,Govia Thameslink Railway,22628
5906,ANF,Ashurst New Forest,South East,New Forest,433392,110147,South West Trains,131592
6083,AWM,Ashwell & Morden,East,South Cambridgeshire,529770,238615,Govia Thameslink Railway,150384
1953,ASK,Askam,North West,Barrow-in-Furness,321500,477688,Northern,65752
6233,ALK,Aslockton,East Midlands,Rushcliffe,474130,339920,East Midlands Trains,30572
2095,ASP,Aspatria,North West,Allerdale,314390,541260,Northern,25904
1380,APG,Aspley Guise,East,Central Bedfordshire,493944,236751,London Midland Trains,9454
1004,AST,Aston,West Midlands,Birmingham,408790,289600,London Midland Trains,525306
1074,ATH,Atherstone,West Midlands,North Warwickshire,430400,298000,London Midland Trains,143476
2584,ATN,Atherton,North West,Wigan,368347,403716,Northern,338164
8608,ATT,Attadale,Scotland,Highland,192456,839125,ScotRail,938
1624,ATB,Attenborough,East Midlands,Broxtowe,451790,334585,East Midlands Trains,105742
7367,ATL,Attleborough,East,Breckland,605177,295033,Greater Anglia,159466
9457,AUK,Auchinleck,Scotland,East Ayrshire,255000,622000,ScotRail,61838
7017,AUD,Audley End,East,Uttlesford,551600,236300,Greater Anglia,930960
2215,AUG,Aughton Park,North West,West Lancashire,340790,406775,Merseyrail,200604
8610,AVM,Aviemore,Scotland,Highland,289566,812339,ScotRail,145200
3265,AVF,Avoncliff,South West,Wiltshire,380500,160100,Great Western Railway,21016
3200,AVN,Avonmouth,South West,City of Bristol,351544,178168,Great Western Railway,144110
5714,AXM,Axminster,South West,East Devon,329260,98225,South West Trains,395216
1492,AYS,Aylesbury,South East,Aylesbury Vale,481779,213470,Chiltern Railways,1176646
1090,AVP,Aylesbury Vale Parkway,South East,Aylesbury Vale,478641,215341,Chiltern Railways,169164
5162,AYL,Aylesford,South East,Tonbridge and Malling,572017,158687,Southeastern,122554
5197,AYH,Aylesham,South East,Dover,624182,152457,Southeastern,88752
9463,AYR,Ayr,Scotland,South Ayrshire,234060,621390,ScotRail,1634550
2187,BAC,Bache,North West,Cheshire West and Chester,340545,368340,Merseyrail,360100
4186,BAJ,Baglan,Wales - Cymru,Castell-nedd Port Talbot - Neath Port Talbot,274700,192300,Arriva Trains Wales,23776
5681,BAG,Bagshot,South East,Surrey Heath,491391,163627,South West Trains,160076
8552,BLD,Baildon,Yorkshire And The Humber,Bradford,416305,439360,Northern,289944
9763,BIO,Baillieston,Scotland,Glasgow City,267750,663275,ScotRail,156480
5492,BAB,Balcombe,South East,Mid Sussex,530670,130115,Govia Thameslink Railway,128066
6084,BDK,Baldock,East,North Hertfordshire,524540,234264,Govia Thameslink Railway,648738
5399,BAL,Balham,London,Wandsworth (London),528500,173200,Govia Thameslink Railway,8750756
9862,BHC,Balloch,Scotland,West Dunbartonshire,239000,681900,ScotRail,543006
9013,BSI,Balmossie,Scotland,Angus,348417,731698,ScotRail,1364
2561,BMB,Bamber Bridge,North West,South Ribble,356500,425810,Northern,89676
2820,BAM,Bamford,East Midlands,High Peak,420800,382500,Northern,30514
8839,BNV,Banavie,Scotland,Highland,211300,776700,ScotRail,5852
4502,BAN,Banbury,South East,Cherwell,446160,240427,Chiltern Railways,2488760
2471,BNG,Bangor (Gwynedd),Wales - Cymru,Gwynedd - Gwynedd,257500,371600,Arriva Trains Wales,657050
2238,BAH,Bank Hall,North West,Liverpool,334496,393867,Merseyrail,168450
5348,BAD,Banstead,South East,Reigate and Banstead,524588,160432,Govia Thameslink Railway,142128
9466,BSS,Barassie,Scotland,South Ayrshire,232900,632900,ScotRail,173818
7563,BLL,Bardon Mill,North East,Northumberland,377918,564486,Northern,11284
2690,BAR,Bare Lane,North West,Lancaster,345439,464613,Northern,179506
9764,BGI,Bargeddie,Scotland,North Lanarkshire,270270,663955,ScotRail,114912
4011,BGD,Bargoed,Wales - Cymru,Caerffili - Caerphilly,315100,200000,Arriva Trains Wales,215054
7492,BKG,Barking,London,Barking and Dagenham (London),544410,184340,c2c,12786542
5133,BMG,Barming,South East,Tonbridge and Malling,572970,156891,Southeastern,142850
4445,BRM,Barmouth,Wales - Cymru,Gwynedd - Gwynedd,261200,315900,Arriva Trains Wales,185586
5089,BNH,Barnehurst,London,Bexley (London),550115,176210,Southeastern,1758466
5551,BNS,Barnes,London,Richmond upon Thames (London),522200,175700,South West Trains,2661284
5580,BNI,Barnes Bridge,London,Richmond upon Thames (London),521460,176230,South West Trains,895376
6406,BTB,Barnetby,Yorkshire And The Humber,North Lincolnshire,505400,409900,TransPennine Express,63100
5252,BAA,Barnham,South East,Arun,495897,104367,Govia Thameslink Railway,904224
9973,BNL,Barnhill,Scotland,Glasgow City,261025,667160,ScotRail,65858
6774,BNY,Barnsley,Yorkshire And The Humber,Barnsley,434735,406535,Northern,1478778
5725,BNP,Barnstaple,South West,North Devon,255561,132541,Great Western Railway,443450
1096,BTG,Barnt Green,West Midlands,Bromsgrove,400610,273670,London Midland Trains,285336
9674,BRR,Barrhead,Scotland,East Renfrewshire,249840,659320,ScotRail,738126
9467,BRL,Barrhill,Scotland,South Ayrshire,222600,581600,ScotRail,13552
6212,BAV,Barrow Haven,Yorkshire And The Humber,North Lincolnshire,506200,423530,Northern,1526
1954,BIF,Barrow-In-Furness,North West,Barrow-in-Furness,319955,469932,TransPennine Express,653310
1903,BWS,Barrow-Upon-Soar,East Midlands,Charnwood,457820,317200,East Midlands Trains,87792
3805,BRY,Barry,Wales - Cymru,Bro Morgannwg - the Vale of Glamorgan,310700,167200,Arriva Trains Wales,532602
3806,BYD,Barry Docks,Wales - Cymru,Bro Morgannwg - the Vale of Glamorgan,312400,167800,Arriva Trains Wales,224246
3807,BYI,Barry Island,Wales - Cymru,Bro Morgannwg - the Vale of Glamorgan,311500,166700,Arriva Trains Wales,711812
9020,BYL,Barry Links,Scotland,Angus,354200,733700,ScotRail,24
6207,BAU,Barton-On-Humber,Yorkshire And The Humber,North Lincolnshire,502888,422510,Northern,39784
7494,BSO,Basildon,East,Basildon,570368,188330,c2c,3180178
5520,BSK,Basingstoke,South East,Basingstoke and Deane,463774,152529,South West Trains,5694954
5090,BBL,Bat & Ball,South East,Sevenoaks,553100,156800,Southeastern,102356
3271,BTH,Bath Spa,South West,Bath and North East Somerset,375248,164353,Great Western Railway,6432334
9311,BHG,Bathgate,Scotland,West Lothian,297790,668324,ScotRail,1302786
8484,BTL,Batley,Yorkshire And The Humber,Kirklees,424985,423790,Northern,351166
7909,BTT,Battersby,Yorkshire And The Humber,Hambleton,458900,507300,Northern,1660
5420,BAK,Battersea Park,London,Wandsworth (London),528745,176960,Govia Thameslink Railway,1782560
5215,BAT,Battle,South East,Rother,575470,115569,Southeastern,559896
6870,BLB,Battlesbridge,East,Chelmsford,577665,194895,Greater Anglia,16804
6006,BAY,Bayford,East,East Hertfordshire,531537,208274,Govia Thameslink Railway,50146
3047,BCF,Beaconsfield,South East,South Bucks,494004,191144,Chiltern Railways,1598250
2420,BER,Bearley,West Midlands,Stratford-on-Avon,417149,260721,London Midland Trains,796
9966,BRN,Bearsden,Scotland,East Dunbartonshire,254355,671795,ScotRail,555990
5091,BSD,Bearsted,South East,Maidstone,579882,156119,Southeastern,390814
8822,BSL,Beasdale,Scotland,Highland,170900,785000,ScotRail,312
5890,BEU,Beaulieu Road,South East,New Forest,434957,106287,South West Trains,8858
8877,BEL,Beauly,Scotland,Highland,252005,845807,ScotRail,52870
2188,BEB,Bebington,North West,Wirral,333300,385000,Merseyrail,854388
7258,BCC,Beccles,East,Waveney,642600,290500,Greater Anglia,109906
5076,BEC,Beckenham Hill,London,Lewisham (London),538040,171375,Govia Thameslink Railway,329790
5046,BKJ,Beckenham Junction,London,Bromley (London),537380,169865,Southeastern,2777104
1512,BDM,Bedford Midland,East,Bedford,504167,249744,Govia Thameslink Railway,3941364
1510,BSJ,Bedford St.Johns,East,Bedford,505000,249015,London Midland Trains,183826
5538,BDH,Bedhampton,South East,Havant,470781,106529,South West Trains,117084
3245,BMT,Bedminster,South West,City of Bristol,358800,171400,Great Western Railway,93744
1165,BEH,Bedworth,West Midlands,Nuneaton and Bedworth,436270,286952,London Midland Trains,85310
3070,BDW,Bedwyn,South West,Wiltshire,428020,164586,Great Western Railway,120534
1625,BEE,Beeston,East Midlands,Broxtowe,453370,336220,East Midlands Trains,534672
5198,BKS,Bekesbourne,South East,Canterbury,618942,156029,Southeastern,26288
2785,BLV,Belle Vue,North West,Manchester,388113,396196,Northern,11456
9895,BLG,Bellgrove,Scotland,Glasgow City,260865,664850,ScotRail,673976
5062,BGM,Bellingham,London,Lewisham (London),537780,172295,Govia Thameslink Railway,781452
9714,BLH,Bellshill,Scotland,North Lanarkshire,273245,660055,ScotRail,852210
5350,BLM,Belmont,London,Sutton (London),525545,162065,Govia Thameslink Railway,136770
1679,BLP,Belper,East Midlands,Amber Valley,434808,347510,East Midlands Trains,230244
5227,BEG,Beltring,South East,Maidstone,568000,147800,Southeastern,11314
5092,BVD,Belvedere,London,Bexley (London),549515,179215,Southeastern,1036688
8047,BEM,Bempton,Yorkshire And The Humber,East Riding of Yorkshire,519000,471730,Northern,12846
8564,BEY,Ben Rhydding,Yorkshire And The Humber,Bradford,413400,447750,Northern,230388
7439,BEF,Benfleet,East,Castle Point,577733,185893,c2c,3844366
2676,BEN,Bentham,Yorkshire And The Humber,Craven,366715,468970,Northern,23630
5624,BTY,Bentley,South East,East Hampshire,479211,143053,South West Trains,141706
8352,BYK,Bentley (S. Yorks),Yorkshire And The Humber,Doncaster,456360,405590,Northern,130434
3549,BAS,Bere Alston,South West,West Devon,244000,67400,Great Western Railway,40978
3550,BFE,Bere Ferrers,South West,West Devon,245230,63545,Great Western Railway,16000
1390,BKM,Berkhamsted,East,Dacorum,499336,208139,London Midland Trains,1773858
1045,BKW,Berkswell,West Midlands,Solihull,424400,277600,London Midland Trains,317164
6543,BEP,Bermuda Park,West Midlands,Nuneaton and Bedworth,435927,289412,London Midland Trains,20106
7330,BYA,Berney Arms,East,Broadland,646000,305300,Greater Anglia,1126
8431,BBW,Berry Brow,Yorkshire And The Humber,Kirklees,413761,413853,Northern,30316
5581,BRS,Berrylands,London,Kingston upon Thames (London),519700,168070,South West Trains,374746
5323,BRK,Berwick (Sussex),South East,Wealden,552603,106774,Govia Thameslink Railway,69722
7791,BWK,Berwick-Upon-Tweed,North East,Northumberland,399410,653445,Virgin Trains East Coast,539778
2351,BES,Bescar Lane,North West,West Lancashire,339605,414535,Northern,3988
1003,BSC,Bescot Stadium,West Midlands,Sandwell,400700,296140,London Midland Trains,158840
5472,BTO,Betchworth,South East,Mole Valley,521052,151317,Great Western Railway,15232
6961,BET,Bethnal Green,London,Tower Hamlets (London),534715,182340,London Overground,1256376
2449,BYC,Betws-y-Coed,Wales - Cymru,Conwy - Conwy,279500,356500,Arriva Trains Wales,36286
8048,BEV,Beverley,Yorkshire And The Humber,East Riding of Yorkshire,503860,439600,Northern,673076
5211,BEX,Bexhill,South East,Rother,574495,107536,Govia Thameslink Railway,1207046
5093,BXY,Bexley,London,Bexley (London),549380,173435,Southeastern,1147112
5094,BXH,Bexleyheath,London,Bexley (London),548320,175995,Southeastern,3070198
3048,BCS,Bicester North,South East,Cherwell,458550,223112,Chiltern Railways,923400
3104,BIT,Bicester Village,South East,Cherwell,458675,221950,Chiltern Railways,1311238
5063,BKL,Bickley,London,Bromley (London),542370,168770,Southeastern,939130
2136,BID,Bidston,North West,Wirral,328400,390800,Merseyrail,287080
6170,BIW,Biggleswade,East,Central Bedfordshire,519241,244351,Govia Thameslink Railway,1029086
4618,BBK,Bilbrook,West Midlands,South Staffordshire,387500,302900,London Midland Trains,126188
6871,BIC,Billericay,East,Basildon,567500,195000,Greater Anglia,3070934
7910,BIL,Billingham,North East,Stockton-on-Tees,446625,523620,Northern,94994
5464,BIG,Billingshurst,South East,Horsham,508803,125123,Govia Thameslink Railway,418566
6235,BIN,Bingham,East Midlands,Rushcliffe,470535,340160,East Midlands Trains,67216
8553,BIY,Bingley,Yorkshire And The Humber,Bradford,410800,439165,Northern,1254652
3907,BCG,Birchgrove,Wales - Cymru,Caerdydd - Cardiff,316711,180978,Arriva Trains Wales,56326
5163,BCH,Birchington-On-Sea,South East,Thanet,629849,169444,Southeastern,377512
2304,BWD,Birchwood,North West,Warrington,365180,390785,TransPennine Express,712562
5401,BIK,Birkbeck,London,Bromley (London),535335,169000,Govia Thameslink Railway,82662
2352,BDL,Birkdale,North West,Sefton,333018,415759,Merseyrail,1035000
2217,BKC,Birkenhead Central,North West,Wirral,332205,388427,Merseyrail,933834
2219,BKQ,Birkenhead Hamilton Square,North West,Wirral,332690,389130,Merseyrail,1940846
2145,BKN,Birkenhead North,North West,Wirral,329790,390256,Merseyrail,756368
2220,BKP,Birkenhead Park,North West,Wirral,331004,389456,Merseyrail,692454
4513,BBS,Birmingham Bordesley,West Midlands,Birmingham,408400,286000,London Midland Trains,15092
1215,BHI,Birmingham International,West Midlands,Solihull,418728,283685,Virgin Trains (West Coast),6468034
4515,BMO,Birmingham Moor Street,West Midlands,Birmingham,407400,286800,Chiltern Railways,6803086
1127,BHM,Birmingham New Street,West Midlands,Birmingham,406875,286659,Network Rail,42366776
1006,BSW,Birmingham Snow Hill,West Midlands,Birmingham,406950,287275,London Midland Trains,4450874
7835,BIA,Bishop Auckland,North East,County Durham,420890,529170,Northern,118742
9940,BBG,Bishopbriggs,Scotland,East Dunbartonshire,261000,670100,ScotRail,581422
6800,BIS,Bishops Stortford,East,East Hertfordshire,549155,220894,Greater Anglia,3165150
5402,BIP,Bishopstone,South East,Lewes,546930,99908,Govia Thameslink Railway,20320
9620,BPT,Bishopton,Scotland,Renfrewshire,243769,670509,ScotRail,621054
5945,BTE,Bitterne,South East,City of Southampton,443890,113380,South West Trains,89798
2737,BBN,Blackburn,North West,Blackburn with Darwen,368500,427900,Northern,1277930
5112,BFR,Blackfriars,London,City and County of the City of London,531714,180914,Govia Thameslink Railway,10576046
5095,BKH,Blackheath,London,Lewisham (London),539640,176005,Southeastern,3468992
7400,BHO,Blackhorse Road,London,Waltham Forest (London),535800,189345,London Underground,774220
2739,BPN,Blackpool North,North West,Blackpool,331024,436693,Northern,1858794
2738,BPB,Blackpool Pleasure Beach,North West,Blackpool,330665,432919,Northern,105466
2740,BPS,Blackpool South,North West,Blackpool,331008,434110,Northern,127530
991,BKR,Blackridge,Scotland,West Lothian,290582,667064,ScotRail,56894
2732,BLK,Blackrod,North West,Bolton,362400,410700,Northern,609150
5625,BAW,Blackwater,South East,Hart,485320,159875,Great Western Railway,526282
2450,BFF,Blaenau Ffestiniog,Wales - Cymru,Gwynedd - Gwynedd,269984,345894,Arriva Trains Wales,40710
8750,BLA,Blair Atholl,Scotland,Perth and Kinross,287000,765300,ScotRail,17598
9760,BAI,Blairhill,Scotland,North Lanarkshire,272230,665585,ScotRail,482954
1176,BKT,Blake Street,West Midlands,Birmingham,410600,300800,London Midland Trains,380216
4574,BKD,Blakedown,West Midlands,Wyre Forest,388065,278725,London Midland Trains,95164
9716,BLT,Blantyre,Scotland,South Lanarkshire,269265,657975,ScotRail,567570
7503,BLO,Blaydon,North East,Gateshead,418500,563500,Northern,15128
6204,BSB,Bleasby,East Midlands,Newark and Sherwood,470920,349865,East Midlands Trains,6808
1360,BLY,Bletchley,South East,Milton Keynes,486859,233741,London Midland Trains,1081728
1141,BLX,Bloxwich,West Midlands,Walsall,399320,302270,London Midland Trains,49672
1018,BWN,Bloxwich North,West Midlands,Walsall,398900,303075,London Midland Trains,51300
2123,BLN,Blundellsands & Crosby,North West,Sefton,331100,399500,Merseyrail,1470212
1282,BYB,Blythe Bridge,West Midlands,Staffordshire Moorlands,395600,341200,East Midlands Trains,95918
3501,BOD,Bodmin Parkway,South West,Cornwall,211030,64058,Great Western Railway,236190
2435,BOR,Bodorgan,Wales - Cymru,Sir Ynys Mon - Isle of Anglesey,238600,370200,Arriva Trains Wales,4956
5253,BOG,Bognor Regis,South East,Arun,493415,99389,Govia Thameslink Railway,971848
9668,BGS,Bogston,Scotland,Inverclyde,230738,674875,ScotRail,38798
2599,BON,Bolton,North West,Bolton,371900,408700,Northern,3240136
8536,BTD,Bolton-On-Dearne,Yorkshire And The Humber,Barnsley,445745,402695,Northern,74764
5626,BKA,Bookham,South East,Mole Valley,512784,155640,South West Trains,331782
1993,BOC,Bootle (Cumbria),North West,Copeland,309370,489305,Northern,11850
2195,BNW,Bootle New Strand,North West,Sefton,334040,395642,Merseyrail,982592
2239,BOT,Bootle Oriel Road,North West,Sefton,333964,394890,Merseyrail,637608
5130,BRG,Borough Green & Wrotham,South East,Tonbridge and Malling,560898,157424,Southeastern,440934
4304,BRH,Borth,Wales - Cymru,Sir Ceredigion - Ceredigion,260900,290100,Arriva Trains Wales,64498
5254,BOH,Bosham,South East,Chichester,481246,105435,Govia Thameslink Railway,63076
6216,BSN,Boston,East Midlands,Boston,532301,344118,East Midlands Trains,211824
5894,BOE,Botley,South East,Winchester,452170,113260,South West Trains,163836
6237,BTF,Bottesford,East Midlands,Melton,481080,339260,East Midlands Trains,65464
3018,BNE,Bourne End,South East,Wycombe,489456,187260,Great Western Railway,257156
5876,BMH,Bournemouth,South West,Bournemouth,409660,91970,South West Trains,2755772
1112,BRV,Bournville,West Midlands,Birmingham,405100,281000,London Midland Trains,1167304
1381,BWB,Bow Brickhill,South East,Milton Keynes,489604,234787,London Midland Trains,40626
6027,BOP,Bowes Park,London,Haringey (London),530245,191470,Govia Thameslink Railway,869578
9968,BWG,Bowling,Scotland,West Dunbartonshire,244300,673700,ScotRail,34438
5403,BXW,Boxhill & Westhumble,South East,Mole Valley,516744,151865,Govia Thameslink Railway,97854
5693,BCE,Bracknell,South East,Bracknell Forest,486910,168969,South West Trains,2354570
8346,BDQ,Bradford Forster Square,Yorkshire And The Humber,Bradford,416370,433430,Northern,2112894
8345,BDI,Bradford Interchange,Yorkshire And The Humber,Bradford,416594,432780,Northern,2976052
3341,BOA,Bradford-On-Avon,South West,Wiltshire,382522,160678,Great Western Railway,543246
5530,BDN,Brading,South East,Isle of Wight,460950,86877,South West Trains (Island Line),48500
6801,BTR,Braintree,East,Braintree,576093,222736,Greater Anglia,788006
2053,BTP,Braintree Freeport,East,Braintree,576925,222100,Greater Anglia,82698
2944,BML,Bramhall,North West,Stockport,389210,384872,Northern,302912
5500,BMY,Bramley (Hampshire),South East,Basingstoke and Deane,465518,159440,Great Western Railway,290932
8496,BLE,Bramley (West Yorkshire),Yorkshire And The Humber,Leeds,423990,434400,Northern,345974
7565,BMP,Brampton (Cumbria),North West,Carlisle,355055,559972,Northern,17708
7259,BRP,Brampton (Suffolk),East,Waveney,641200,283400,Greater Anglia,7842
9938,BCN,Branchton,Scotland,Inverclyde,225000,675500,ScotRail,113200
7200,BND,Brandon,East,Breckland,578447,287245,Greater Anglia,112670
5875,BSM,Branksome,South West,Poole,405760,91930,South West Trains,291532
2045,BYS,Braystones,North West,Copeland,300100,505978,Northern,956
2779,BDY,Bredbury,North West,Stockport,392755,391823,Northern,214500
9251,BRC,Breich,Scotland,West Lothian,295600,660600,ScotRail,48
5552,BFD,Brentford,London,Hounslow (London),517460,177865,South West Trains,1857608
