NLC,TLC,Station Name,Region,Local Authority,OS Grid Easting,OS Grid Northing,Station Facility Owner,1617_Entry_Exits
3012,FIN,Finstock,South East,West Oxfordshire,436647,217265,Great Western Railway,1836
5261,FSB,Fishbourne,South East,Chichester,483530,105060,Govia Thameslink Railway,53922
5284,FSG,Fishersgate,South East,Adur,525483,105366,Govia Thameslink Railway,92456
6680,FGW,Fishguard & Goodwick,Wales - Cymru,Sir Benfro - Pembrokeshire,194535,238200,Arriva Trains Wales,19600
4076,FGH,Fishguard Harbour,Wales - Cymru,Sir Benfro - Pembrokeshire,195200,239000,Arriva Trains Wales,18600
6351,FSK,Fiskerton,East Midlands,Newark and Sherwood,473000,352000,East Midlands Trains,26760
8583,FZW,Fitzwilliam,Yorkshire And The Humber,Wakefield,441475,415290,Northern,302122
4503,FWY,Five Ways,West Midlands,Birmingham,406010,285910,London Midland Trains,1660958
5522,FLE,Fleet,South East,Hart,481626,155260,South West Trains,1888198
2026,FLM,Flimby,North West,Allerdale,302070,533800,Northern,11678
2513,FLN,Flint,Wales - Cymru,Sir y Fflint - Flintshire,324500,373100,Arriva Trains Wales,261094
1532,FLT,Flitwick,East,Central Bedfordshire,503390,234980,Govia Thameslink Railway,1518180
2935,FLI,Flixton,North West,Trafford,374575,394184,Northern,130442
2786,FLF,Flowery Field,North West,Tameside,394716,396126,Northern,222152
5035,FKC,Folkestone Central,South East,Shepway,622084,136286,Southeastern,1021036
5027,FKW,Folkestone West,South East,Shepway,620985,136428,Southeastern,552692
5258,FOD,Ford,South East,Arun,500215,104280,Govia Thameslink Railway,95982
6876,FOG,Forest Gate,London,Newham (London),540458,185335,TfL Rail,3207020
5362,FOH,Forest Hill,London,Lewisham (London),535410,172940,London Overground,5422654
2354,FBY,Formby,North West,Sefton,329150,406850,Merseyrail,1492202
8638,FOR,Forres,Scotland,Moray,302950,858920,ScotRail,123298
8639,FRS,Forsinard,Scotland,Highland,289100,942500,ScotRail,2124
9675,FTM,Fort Matilda,Scotland,Inverclyde,225600,677530,ScotRail,140472
8827,FTW,Fort William,Scotland,Highland,210531,774186,ScotRail,138514
1042,FOK,Four Oaks,West Midlands,Birmingham,411750,298010,London Midland Trains,750346
2046,FOX,Foxfield,North West,South Lakeland,320880,485460,Northern,24604
7029,FXN,Foxton,East,South Cambridgeshire,540885,248760,Govia Thameslink Railway,92908
5218,FRT,Frant,South East,Wealden,560739,136362,Southeastern,135828
5509,FTN,Fratton,South East,City of Portsmouth,465360,100050,South West Trains,1595694
2355,FRE,Freshfield,North West,Sefton,329110,408250,Merseyrail,773750
3344,FFD,Freshford,South West,Bath and North East Somerset,379130,160370,Great Western Railway,45468
5683,FML,Frimley,South East,Surrey Heath,487430,157717,South West Trains,215496
6854,FRI,Frinton,East,Tendring,623525,220426,Greater Anglia,208252
8556,FZH,Frizinghall,Yorkshire And The Humber,Bradford,415305,436035,Northern,440964
2284,FRD,Frodsham,North West,Cheshire West and Chester,351870,377895,Arriva Trains Wales,178344
5707,FRO,Frome,South West,Mendip,378450,147610,Great Western Railway,187594
